Year, NodeId, Gender, IP_Key:Adherence, HasIntervention:STIBarrier_NoCondoms, IsCircumcised, HIV_Stage, Age, Population, Infected CD4 Under 200 (Not On ART), Infected CD4 200 To 349 (Not On ART), Infected CD4 350 To 499 (Not On ART), Infected CD4 500 Plus (Not On ART), Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Transmitters, HasIntervention(CoitalActRiskFactors_MoreLikelyToTransmit),EnteredRelationship,ExitedRelationship,Currently (TRANSITORY),Currently (INFORMAL),Currently (MARITAL),Currently (COMMERCIAL),Ever (TRANSITORY),Ever (INFORMAL),Ever (MARITAL),Ever (COMMERCIAL),Has Concurrent Partners,Current Partners,Lifetime Partners,Num_TRANSITORY,Num_INFORMAL,Num_MARITAL,Num_COMMERCIAL,Num_Concordant_TRANSITORY,Num_Concordant_INFORMAL,Num_Concordant_MARITAL,Num_Concordant_COMMERCIAL
1963.37,1,0,LOW,0,1,NOT_INFECTED,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,0,1,NOT_INFECTED,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,0,1,ACUTE,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,0,1,ACUTE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,0,1,LATENT,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,0,1,LATENT,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,0,1,AIDS,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,0,1,AIDS,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,0,1,ON_ART,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,0,1,ON_ART,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,1,0,NOT_INFECTED,15,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,308,415,14,0,580,546,15,0,320,1008,2346,416,578,14,0,390,530,14,0
1963.37,1,0,LOW,1,0,NOT_INFECTED,40,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,26,11,0,33,44,11,0,17,61,133,18,32,11,0,18,32,11,0
1963.37,1,0,LOW,1,0,ACUTE,15,3,0,0,0,3,3,2,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,3,3,0,0,3,8,14,5,3,0,0,4,1,0,0
1963.37,1,0,LOW,1,0,ACUTE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,1,0,LATENT,15,20,4,5,10,1,20,0,0,0,0,0,0,0,0,0,0,0,2,0,10,13,0,0,19,18,0,0,12,31,84,15,16,0,0,10,8,0,0
1963.37,1,0,LOW,1,0,LATENT,40,5,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,3,4,0,0,2,6,10,2,4,0,0,0,0,0,0
1963.37,1,0,LOW,1,0,AIDS,15,2,1,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,2,2,1,0,0,2,2,0,0,1,3,9,2,1,0,0,1,0,0,0
1963.37,1,0,LOW,1,0,AIDS,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,1,0,ON_ART,15,36,0,0,0,0,36,0,36,0,0,36,0,0,0,0,2,0,1,0,21,27,0,0,32,34,0,0,25,72,154,28,44,0,0,12,22,0,0
1963.37,1,0,LOW,1,0,ON_ART,40,2,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,5,0,1,0,0,0,0,0,0
1963.37,1,0,LOW,1,1,NOT_INFECTED,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,1,1,NOT_INFECTED,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,1,1,ACUTE,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,1,1,ACUTE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,1,1,LATENT,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,1,1,LATENT,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,1,1,AIDS,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,1,1,AIDS,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,1,1,ON_ART,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,1,1,ON_ART,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,0,0,NOT_INFECTED,15,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,338,491,18,0,633,604,18,0,354,1141,2463,447,676,18,0,405,619,16,0
1963.37,1,0,HIGH,0,0,NOT_INFECTED,40,875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,10,84,274,135,0,229,397,138,0,121,542,967,86,321,135,0,86,316,134,0
1963.37,1,0,HIGH,0,0,ACUTE,15,4,0,0,1,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,1,0,4,4,1,0,4,10,22,2,7,1,0,0,5,0,0
1963.37,1,0,HIGH,0,0,ACUTE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,0,0,LATENT,15,42,15,5,18,4,42,0,0,0,0,0,0,0,0,0,1,0,2,1,23,30,4,0,39,40,4,0,28,75,172,33,38,4,0,15,18,0,0
1963.37,1,0,HIGH,0,0,LATENT,40,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,6,0,2,0,0,0,1,0,0
1963.37,1,0,HIGH,0,0,AIDS,15,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2,0,1,0,0,0,1,0,0
1963.37,1,0,HIGH,0,0,AIDS,40,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,0,0,ON_ART,15,26,0,0,0,0,26,0,26,0,0,26,0,0,0,0,0,0,2,0,9,9,2,0,20,19,2,0,10,28,84,13,13,2,0,3,3,0,0
1963.37,1,0,HIGH,0,0,ON_ART,40,3,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,1,0,1,2,1,0,2,3,1,0,2,5,9,1,3,1,0,0,1,0,0
1963.37,1,0,HIGH,0,1,NOT_INFECTED,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,0,1,NOT_INFECTED,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,0,1,ACUTE,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,0,1,ACUTE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,0,1,LATENT,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,0,1,LATENT,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,0,1,AIDS,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,0,1,AIDS,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,0,1,ON_ART,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,0,1,ON_ART,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,1,0,NOT_INFECTED,15,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,294,424,18,0,544,528,18,0,311,975,2208,371,586,18,0,342,557,17,0
1963.37,1,0,HIGH,1,0,NOT_INFECTED,40,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13,22,3,0,29,34,3,0,9,44,96,15,26,3,0,14,26,3,0
1963.37,1,0,HIGH,1,0,ACUTE,15,9,0,0,0,9,9,2,0,0,0,0,0,0,0,0,1,0,0,0,7,6,0,0,8,9,0,0,6,19,39,10,9,0,0,8,6,0,0
1963.37,1,0,HIGH,1,0,ACUTE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,1,0,LATENT,15,31,13,3,8,7,31,0,0,0,0,0,0,0,0,0,0,0,3,1,16,26,0,0,27,30,0,0,18,58,118,23,35,0,0,8,16,0,0
1963.37,1,0,HIGH,1,0,LATENT,40,4,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,1,0,1,3,6,1,1,1,0,0,0,0,0
1963.37,1,0,HIGH,1,0,AIDS,15,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,4,0,0,3,7,15,2,5,0,0,1,1,0,0
1963.37,1,0,HIGH,1,0,AIDS,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,1,0,ON_ART,15,25,0,0,0,0,25,0,25,0,0,25,0,0,0,0,0,0,1,1,9,21,0,0,20,24,0,0,13,45,103,14,31,0,0,2,7,0,0
1963.37,1,0,HIGH,1,0,ON_ART,40,2,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,1,1,NOT_INFECTED,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,1,1,NOT_INFECTED,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,1,1,ACUTE,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,1,1,ACUTE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,1,1,LATENT,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,1,1,LATENT,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,1,1,AIDS,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,1,1,AIDS,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,1,1,ON_ART,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,HIGH,1,1,ON_ART,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,0,0,NOT_INFECTED,15,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,75,78,672,1034,77,0,1212,1267,81,0,773,2397,5318,901,1419,77,0,837,1314,72,0
1963.37,1,1,LOW,0,0,NOT_INFECTED,40,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,6,3,55,157,98,0,154,258,104,0,38,325,588,58,169,98,0,57,168,98,0
1963.37,1,1,LOW,0,0,ACUTE,15,12,0,0,0,12,12,5,0,0,0,0,0,0,0,0,1,7,0,1,10,9,1,0,10,11,1,0,10,27,58,12,14,1,0,9,6,0,0
1963.37,1,1,LOW,0,0,ACUTE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,0,0,LATENT,15,61,1,9,36,15,61,0,0,0,0,0,0,0,0,0,2,38,3,5,38,48,0,0,61,57,1,0,38,122,304,51,71,0,0,16,35,0,0
1963.37,1,1,LOW,0,0,LATENT,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,0,0,AIDS,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,0,0,AIDS,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,0,0,ON_ART,15,46,0,0,0,0,46,0,46,0,0,46,0,0,0,0,0,33,5,2,25,39,4,0,44,46,4,0,32,95,232,35,56,4,0,12,23,3,0
1963.37,1,1,LOW,0,0,ON_ART,40,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0
1963.37,1,1,LOW,1,0,NOT_INFECTED,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,1,0,NOT_INFECTED,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,1,0,ACUTE,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,1,0,ACUTE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,1,0,LATENT,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,1,0,LATENT,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,1,0,AIDS,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,1,0,AIDS,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,1,0,ON_ART,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,LOW,1,0,ON_ART,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,0,0,NOT_INFECTED,15,1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,63,55,658,989,87,0,1185,1219,90,0,732,2303,5145,858,1358,87,0,792,1288,81,0
1963.37,1,1,HIGH,0,0,NOT_INFECTED,40,969,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,5,12,58,170,95,0,179,278,99,0,51,343,638,60,188,95,0,60,187,94,0
1963.37,1,1,HIGH,0,0,ACUTE,15,11,0,0,0,11,11,3,0,0,0,0,0,0,0,0,3,6,0,1,9,10,0,0,10,11,0,0,9,28,54,15,13,0,0,9,7,0,0
1963.37,1,1,HIGH,0,0,ACUTE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,0,0,LATENT,15,82,2,5,53,22,82,0,0,0,0,0,0,0,0,0,0,49,8,4,53,70,3,0,77,81,3,0,60,178,416,71,104,3,0,24,49,1,0
1963.37,1,1,HIGH,0,0,LATENT,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,0,0,AIDS,15,3,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,3,2,0,0,2,5,10,2,3,0,0,2,2,0,0
1963.37,1,1,HIGH,0,0,AIDS,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,0,0,ON_ART,15,37,0,0,0,0,37,0,37,0,0,37,0,0,0,0,0,21,2,2,25,35,1,0,36,36,2,0,31,88,214,35,52,1,0,11,11,0,0
1963.37,1,1,HIGH,0,0,ON_ART,40,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,1,0,NOT_INFECTED,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,1,0,NOT_INFECTED,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,1,0,ACUTE,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,1,0,ACUTE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,1,0,LATENT,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,1,0,LATENT,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,1,0,AIDS,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,1,0,AIDS,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,1,0,ON_ART,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,1,HIGH,1,0,ON_ART,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.41,1,0,LOW,0,0,NOT_INFECTED,15,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,25,346,453,18,0,616,578,19,0,329,1076,2466,443,615,18,0,402,573,18,0
1963.41,1,0,LOW,0,0,NOT_INFECTED,40,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,94,274,133,0,253,407,137,0,135,559,1009,104,322,133,0,104,322,132,0
1963.41,1,0,LOW,0,0,ACUTE,15,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,2,0,0,2,6,10,3,3,0,0,2,2,0,0
1963.41,1,0,LOW,0,0,ACUTE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.41,1,0,LOW,0,0,LATENT,15,46,13,10,20,3,46,0,0,0,0,0,0,0,0,0,0,0,1,6,24,37,3,0,42,44,3,0,31,79,180,28,48,3,0,5,20,1,0
1963.41,1,0,LOW,0,0,LATENT,40,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,3,3,1,2,0,0,0,1,0,0
1963.41,1,0,LOW,0,0,AIDS,15,2,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,0,0,2,2,0,0,1,3,10,2,1,0,0,1,1,0,0
