Time,Year,Node_ID,Coital_Act_ID,Rel_ID,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,A_ID,B_ID,A_Gender,B_Gender,A_Age,B_Age,A_Is_Infected,B_Is_Infected,Did_Use_Condom,Risk_Multiplier,Transmission_Multiplier,Acquisition_Multiplier,Infection_Was_Transmitted,A_Num_Current_Rels,B_Num_Current_Rels,A_Is_Circumcised,B_Is_Circumcised,A_Has_CoInfection,B_Has_CoInfection,A_HIV_Infection_Stage,B_HIV_Infection_Stage,A_Is_On_ART,B_Is_On_ART
1410,1964.36,1,269711,2080,2,F,1059,422,MALE,FEMALE,16.1786,15.0464,0,1,0,1,0.001,0.4,0,1,4,1,0,0,0,1,2,0,0
1410,1964.36,1,269712,2080,2,F,1059,422,MALE,FEMALE,16.1786,15.0464,0,1,0,1,0.001,0.4,0,1,4,1,0,0,0,1,2,0,0
1410,1964.36,1,269722,3167,1,F,1060,786,MALE,FEMALE,32.6052,24.0742,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,0,0
1410,1964.36,1,269723,3167,1,F,1060,786,MALE,FEMALE,32.6052,24.0742,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,0,0
1410,1964.36,1,269724,3167,1,F,1060,786,MALE,FEMALE,32.6052,24.0742,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,0,0
1410,1964.36,1,269748,2462,0,F,1072,1491,MALE,FEMALE,19.3953,12.4519,1,0,0,1,0.001,1,0,3,4,1,0,0,0,2,1,0,0
1410,1964.36,1,269749,2462,0,F,1072,1491,MALE,FEMALE,19.3953,12.4519,1,0,0,1,0.001,1,0,3,4,1,0,0,0,2,1,0,0
1410,1964.36,1,269750,2462,0,F,1072,1491,MALE,FEMALE,19.3953,12.4519,1,0,0,1,0.001,1,0,3,4,1,0,0,0,2,1,0,0
1410,1964.36,1,269751,3008,2,F,1072,492,MALE,FEMALE,19.3953,12.138,1,1,1,0,0,0,0,3,4,1,0,0,0,2,1,0,0
1410,1964.36,1,269752,3008,2,F,1072,492,MALE,FEMALE,19.3953,12.138,1,1,0,0,0,0,0,3,4,1,0,0,0,2,1,0,0
1410,1964.36,1,269805,768,0,F,1090,1715,MALE,FEMALE,24.954,33.0369,1,1,0,0,0,0,0,3,4,1,0,0,0,2,2,0,0
1410,1964.36,1,269806,768,0,F,1090,1715,MALE,FEMALE,24.954,33.0369,1,1,0,0,0,0,0,3,4,1,0,0,0,2,2,0,0
1410,1964.36,1,269807,768,0,F,1090,1715,MALE,FEMALE,24.954,33.0369,1,1,0,0,0,0,0,3,4,1,0,0,0,2,2,0,0
1410,1964.36,1,269808,768,0,F,1090,1715,MALE,FEMALE,24.954,33.0369,1,1,0,0,0,0,0,3,4,1,0,0,0,2,2,0,0
1410,1964.36,1,269809,768,0,F,1090,1715,MALE,FEMALE,24.954,33.0369,1,1,0,0,0,0,0,3,4,1,0,0,0,2,2,0,0
1410,1964.36,1,269810,768,0,F,1090,1715,MALE,FEMALE,24.954,33.0369,1,1,0,0,0,0,0,3,4,1,0,0,0,2,2,0,0
1410,1964.36,1,269811,2089,2,F,1090,1267,MALE,FEMALE,24.954,23.3709,1,1,0,0,0,0,0,3,4,1,0,0,0,2,2,0,0
1410,1964.36,1,269812,2089,2,F,1090,1267,MALE,FEMALE,24.954,23.3709,1,1,0,0,0,0,0,3,4,1,0,0,0,2,2,0,0
1410,1964.36,1,269813,2089,2,F,1090,1267,MALE,FEMALE,24.954,23.3709,1,1,0,0,0,0,0,3,4,1,0,0,0,2,2,0,0
1410,1964.36,1,269814,2089,2,F,1090,1267,MALE,FEMALE,24.954,23.3709,1,1,0,0,0,0,0,3,4,1,0,0,0,2,2,0,0
